MPAA_rating,genre,voice-actor,director,Year,revenue
139540245.09535453,113133505.39247312,105165458.50225225,115145616.99263352,1990,49999822.0
107816160.86486487,156173112.33335882,105165458.50225225,115145616.99263352,2015,180202163.0
139540245.09535453,113133505.39247312,105165458.50225225,115145616.99263352,2006,78667428.0
54621782.59210526,113133505.39247312,105165458.50225225,115145616.99263352,2004,32198655.0
139540245.09535453,275605875.25,105165458.50225225,115145616.99263352,2007,100760721.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,224270360.34031862,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,268505720.9821706,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,271437307.07537556,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,256307551.77591974,247108326.69767442,1991,363017667.0
522877329.2885906,1316368010.1617646,225584912.63059714,247108326.69767442,1991,363017667.0
107816160.86486487,95397952.36607456,105165458.50225225,115145616.99263352,1995,9857435.0
522877329.2885906,181061623.4879227,105165458.50225225,115145616.99263352,1998,288981698.0
139540245.09535453,113133505.39247312,105165458.50225225,115145616.99263352,1990,143108869.0
54621782.59210526,38618777.86940032,105165458.50225225,115145616.99263352,1994,17727017.0
107816160.86486487,66609780.68670294,105165458.50225225,115145616.99263352,2002,330754439.0
54621782.59210526,275605875.25,105165458.50225225,115145616.99263352,1995,46741467.0
139540245.09535453,275605875.25,105165458.50225225,115145616.99263352,2015,44480275.0
139540245.09535453,113133505.39247312,105165458.50225225,115145616.99263352,1997,193326632.0
54621782.59210526,181061623.4879227,105165458.50225225,115145616.99263352,1993,9156084.0
107816160.86486487,156173112.33335882,105165458.50225225,115145616.99263352,2012,660081224.0
107816160.86486487,95397952.36607456,105165458.50225225,115145616.99263352,1999,63354375.0
522877329.2885906,12783367.56401966,105165458.50225225,115145616.99263352,2009,35981010.0
139540245.09535453,113133505.39247312,105165458.50225225,115145616.99263352,1987,44024529.0
54621782.59210526,275605875.25,105165458.50225225,115145616.99263352,1994,103354194.0
107816160.86486487,66609780.68670294,105165458.50225225,115145616.99263352,2000,148208901.0
139540245.09535453,113133505.39247312,105165458.50225225,115145616.99263352,1987,353334607.0
139540245.09535453,12783367.56401966,105165458.50225225,115145616.99263352,2009,1563976.0
522877329.2885906,181061623.4879227,105165458.50225225,115145616.99263352,2011,203522177.0
522877329.2885906,95397952.36607456,105165458.50225225,115145616.99263352,2004,129164207.0
522877329.2885906,181061623.4879227,105165458.50225225,115145616.99263352,2003,66966883.0
107816160.86486487,95397952.36607456,105165458.50225225,115145616.99263352,1993,15970955.0
107816160.86486487,113133505.39247312,105165458.50225225,115145616.99263352,1992,4631720.0
54621782.59210526,275605875.25,105165458.50225225,115145616.99263352,1998,38766948.0
